SMILES,SPLIT
Cc1cccc2c(N3CCC(CS(N)(=O)=O)CC3)c(C#N)cnc12,train
N#Cc1cc(Cl)ccc1N1CCN(CC(=O)N2CCOCC2)CC1,train
CCn1nnnc1-c1cccc(NC(=O)c2scnc2C2CC2)c1,train
CN(CC(N)=O)C(=O)Cc1ccc(OC(F)(F)F)cc1,train
CCc1ccc(C(C)NC(=O)c2c(C)cc(C)[nH]c2=O)cc1,train
Cc1csc(COC(=O)c2cccc3ncccc23)n1,train
Cc1cc(C(=O)N2CCN(Cc3nnc4n3CCCCC4)CC2)no1,train
CSc1nc2ccccc2n1Cc1ccccn1,train
O=C(CCc1ccncc1)Nc1ccc(CN2CCCC2=O)cc1,train
NS(=O)(=O)c1ccc(NC(=O)c2ccc(-n3cccn3)cc2)cc1,train
Cn1cnnc1Sc1nc2c(=O)n(C)c(=O)n(C)c2n1C,train
CC(C)Cc1n[nH]c(Cc2nc3ccccc3[nH]2)n1,train
CCn1nnnc1-c1cccc(C(=O)Nc2cccc(C(N)=O)c2)c1,train
CS(=O)(=O)c1ccccc1NC(=O)c1c(F)cccc1Cl,train
Cc1nccn1-c1ncccc1NC(=O)CN1CCCS1(=O)=O,train
N#CC(C(=O)C1CCCN1C(=O)Cc1cccs1)c1ccccn1,train
COc1ccc(C2(NC(=O)CCNC(=O)C3CC3C)CCCC2)cc1,train
COc1ccc(OC(C)C(=O)N2CCc3ccccc3C2)cc1,train
COc1ccc(OC)c(C(C#N)N2CCC(C)CC2)c1,train
CN1c2ncccc2C(=O)NC1c1ccc(NC(=O)C2CC2)cc1,train
CCOc1cccc(C(=O)Nc2nccn(C)c2=O)c1,train
CC(=O)Nc1ccc(O)c(C(=O)N(C)Cc2ccc(C)cc2)c1,train
COC(C)(C)CC(C)NC(=O)N1CCCC(O)C1,train
Cc1cc(COC(=O)Cc2csc(-c3ccsc3)n2)no1,train
COc1ccc(N(C)C(=O)c2ccc3c(c2)OCCO3)cn1,train
CN(C)C(=O)c1cc(Oc2cccc(N)c2)ccn1,train
CC1=CCC(NC(=O)NC(CO)(CO)CO)CC1,train
COCCNC(=O)CSc1nc(=O)c2c3c(sc2[nH]1)CCC3,train
C=C1C(C(=O)Nc2ccccc2F)C1C(=O)Nc1ccccc1F,train
CC(C)C(C)(O)C(n1nnc2ccccc21)n1nnc2ccccc21,train
CCNc1nc(OC)c(C#N)c(-c2cccnc2)c1C#N,train
CCN(CC)S(=O)(=O)CCNC(=O)c1ccccc1,train
CCC(C)CN(C)S(=O)(=O)c1cc(Br)cnc1N,train
CCN(C1CC1)S(=O)(=O)c1c(C)nn(Cc2nncn2C)c1C,train
NC(=O)C1CCN(C(=O)CSc2ncnc(N)n2)CC1,train
O=C(CC1CCCO1)Nc1nc(C(F)(F)F)cs1,train
CN1CCN(C(=O)CN(Cc2ccc(F)cc2)S(C)(=O)=O)CC1,train
O=C(NCc1nc2ncc(Br)cc2[nH]1)C1CC2CCC1C2,train
CS(=O)(=O)NCCC(=O)NC(c1ccc(F)cc1)C1CCCC1,train
CC1CCCN(S(=O)(=O)N(CC(N)=O)C2CCCC2)C1,train
CC(C)Cc1nnc(NCc2ccccc2F)s1,train
COC(=O)c1ccccc1NC(=O)c1cnc(C)cn1,train
CC(=O)Nc1ccc(-c2cc(CO)nn2C(C)C)cc1,train
CC(NC(N)=O)C(=O)NC(C(=O)Nc1ccccc1)c1ccccc1,train
CCOc1ccccc1OCC(=O)Nc1cccc(C(=O)NC)c1,train
COc1cccc(C(=O)NCCc2ccc(F)cc2)c1O,train
CC1CCN(S(=O)(=O)N2CCN(C(=O)c3ccco3)CC2)CC1,train
Cn1ccc(N)c1-c1ccc(Br)cc1,train
CCc1ccccc1C(=O)N1CCC(n2ccnn2)CC1,train
CN(CCc1ccccn1)C(=O)NCCc1nnc2n1CCCCC2,train
COc1ccc(F)c(NC(=O)NCCCn2nc(C)cc2C)c1,train
COCC(C)NC(=O)Nc1cc(Cl)ccc1N(C)C,train
O=C(Nc1ccc(Br)cn1)c1cccc(-n2cccn2)c1,train
CCCN(CCC)C(=O)CN1CCOc2cccc(N)c21,train
O=C(NCCc1ccccc1F)C1CC(=O)N(CC2CC2)C1,train
COc1ccc(S(=O)(=O)NCC(O)Cc2ccccc2)cc1F,train
CCSc1ccccc1C(=O)N1CCC(Oc2cccnc2)CC1,train
Cc1nn(-c2ccccc2)nc1C(=O)NCCC(C)C,train
CC(Sc1nc(CCC2CCCC2)n[nH]1)C(N)=O,train
CCc1ccsc1C(=O)Oc1ccc(C(=O)N(C)C)cc1,train
CCN(CC)C(=O)c1cc(=O)c2cc(N)cc(Cl)c2o1,train
CN(Cc1nccn1C(F)F)C(=O)c1cccc(N(C)C)c1,train
Cc1cccc(N2CCN(CC(O)c3ccncc3)CC2)c1,train
COC(=O)c1ccc(CN2CC(C)OCC2c2ccccc2)cc1F,train
COc1cc(OC)c(C(=O)c2oc3ccccc3c2N)c(OC)c1,train
Cc1nnc(N2CCCC(CS(N)(=O)=O)C2)c(C#N)c1C,train
Cc1csc(=O)n1CCN1CCc2cc(Br)ccc21,train
CCc1ccccc1NS(=O)(=O)CC12CCC(CC1=O)C2(C)C,train
O=C(COc1ccccc1)N1CCC2(CC(OCC3CCC3)CO2)C1,train
O=C(NCCC(=O)N1CCCC1)Nc1cccc(F)c1,train
CSc1cccc(NC(=O)N2CCC(C)CC2)c1,train
CC(C)CC(=O)NC(C(=O)N1CCCC(O)C1)C(C)C,train
CN1CCN(S(=O)(=O)c2ccc(NCc3ccco3)nc2)CC1,train
NC(=O)c1ccccc1NC(=O)CCC(=O)c1ccc(F)cc1F,train
COCCNC(=O)CNc1ccc(Cl)cc1Cl,train
Cc1cc(C)n(-c2ccc(C(C)NC(=O)CC3(O)CCCC3)cc2)n1,train
CCOc1ccc2nc(SCC(=O)OC)[nH]c2c1,train
CC(C)C(C)NC(=O)CSc1nc2ccccc2c(=O)n1N,train
O=C1CCN(c2nc(-c3ccccc3)cc(=O)[nH]2)CC1,train
Cc1cnn(CC(=O)N2CCCC2(C)C(=O)NC2CCCC2)c1,train
O=C1C(=O)N(Cc2ccc(Cl)cc2)c2ccc(F)cc21,train
Cc1ccnc2nc(C(=O)OC3CCCCC3)nn12,train
Cn1cc(N)cc1C(=O)OCCOCC(F)(F)F,train
CC(=O)Nc1cccc(-c2nc(-c3cccc(-c4ccn[nH]4)c3)no2)c1,train
CCNC(=O)N1CCN(CCCOc2ccc(OC)cc2)CC1,train
O=c1c2ccsc2ncn1Cc1nc2ccccc2o1,train
CN(Cc1cccc(Cl)c1)C(=O)Nc1cccnc1,train
CCOC(=O)Nc1nnc(C=Cc2ccc(OC)cc2)s1,train
COc1cccc(NC(=O)C(O)c2ccc(C)cc2C)c1,train
O=C(Nc1ccc(-n2cnnn2)cc1)c1ccc(Cn2cccn2)cc1,train
Nc1cccc(OCC(=O)Nc2cccc3ccccc23)c1,train
O=C(NCC(O)Cc1ccccc1)Nc1cccc(C(F)(F)F)c1,train
Cn1cc(N2C(=O)CCC3C2CCN3C(=O)N2CCOCC2)cn1,train
CCOc1cc(C)c(-c2cn(-c3cccc(N)c3)nn2)cc1C,train
COc1cccc(NC(=O)CNC(=O)c2ccnn2C)c1,train
CSc1ccc(C(=O)Nc2cccc(C(N)=O)c2)cc1,train
CCc1cnc(C)nc1NC(C)Cc1cccnc1,train
O=S(=O)(Nc1cccc(F)c1)c1ccccc1Cl,train
Cc1ccc(OCCNC(=O)c2cncc(Br)c2)cc1,train
OCCSc1ccc(-c2ccc(SCCO)cc2)cc1,train
O=C(CCc1ccco1)NCc1ccccc1Cn1cccn1,train
N#Cc1ccccc1NC(=O)CCCOc1ccccc1,train
COc1cccc(C2NC(=O)c3cccc(C)c3N2)c1OC,train
CCOC(C)c1nccn1Cc1ccc(F)cc1Br,train
COc1ccc(CN(C)C(=O)c2c(C)c(C)nn(C)c2=O)cc1,train
Cc1nn2c(=O)cc(COc3ccc(C)c(C)c3)nc2s1,train
O=C(Cc1ccccc1)Nc1nnc(Cc2ccccc2)s1,train
CC(C)N(C(=O)c1cccc(Br)c1)C1CCC1,train
CC(Sc1nccn1C)C(=O)Nc1cccc(Cl)c1,train
O=C(NCc1ccc(F)cc1)c1c[nH]c2cc(Cl)ccc2c1=O,train
COc1cn(-c2ccccc2)nc1C(=O)Nc1cccnc1,train
Cc1cccc(CNC(=O)c2cc(-c3csc(C)n3)c[nH]2)c1,train
O=c1c(Cl)cncn1-c1cccc(C(F)(F)F)c1,train
Cc1c(C(O)C(C)(C)C)cc2c(c1C)NC(=O)C2C,train
O=c1[nH]cc(NS(=O)(=O)c2ccc(Cl)cc2)c(=O)[nH]1,train
CN(CC(=O)NC1(C#N)CCCCC1)C(=O)c1ccccc1,train
Cc1ccc(OCC(=O)OCc2nnnn2-c2ccccc2)c(C)c1,train
Cc1ccc(C(=O)OCC(=O)c2cc(C)sc2C)cn1,train
C=CCN1CCC2(CCN(S(=O)(=O)c3cn(C)cn3)CC2)C1=O,train
CCNc1nc(C)nc2scc(-c3ccccc3)c12,train
Cc1cc(CC(=O)C2CCN(C(=O)OC(C)(C)C)C2)on1,train
CC(C)OC1=NS(=O)(=O)c2cc(Cl)ccc21,train
COc1ccc(CN2C(=O)OCC2C(=O)NCc2ccncc2)cc1,train
CCc1oc(C)cc1-c1nnc(NCCOC)s1,train
CCN(CC1CC1)C(=O)c1c[nH]nc1-c1ccc(Cl)cc1,train
CN(C)c1ncc(C(=O)NCc2ccncc2)c(N)n1,train
O=C(c1ccc[nH]1)N1CCCN(C(=O)C2CC3CCC2C3)CC1,train
O=C(NC1CC1)C1CCCN1C(=O)C1(c2cccc(Cl)c2)CCC1,train
CCCCN(C)C(=O)CN1C(=O)COc2cccc(N)c21,train
COc1cc2c(cc1OC)C(c1ccc(C)cc1)CC(=O)N2,train
CN(Cc1csc2ccccc12)C(=O)c1ccnc(-n2ccnc2)c1,train
COCCSc1nnc2ccc(-c3cccnc3)nn12,train
CC(CN1CCCC1=O)NC(=O)Nc1cccc(-c2nnco2)c1,train
CCc1ccc(CC(=O)Nc2ncnc3c2CCC3)cc1,train
CC1CC(C)CN(C(=O)CSc2ccccc2)C1,train
CN1C(=O)CN(C(=O)CCC2CCCO2)c2ccccc21,train
C#Cc1cccc(NC(=O)COc2ccc(OC)cc2)c1,train
CCC(C)C(=O)N=c1[nH]c2cc(Cl)ccc2n1C,train
CCc1nc(CC(=O)Nc2nc(C(C)=O)cs2)cs1,train
CCC(C)NC(=O)c1cccc(S(=O)(=O)N2CCC(C)CC2)c1,train
FC(F)(F)COc1nc(N2CCOCC2)nc(N2CCOCC2)n1,train
CC(NC(=O)CCn1c(=O)oc2ccccc21)c1cccc(Cl)c1,train
CC(=O)c1cc(-c2ccc3c(c2)OCCO3)n(C)n1,train
C=CCOC(=O)N1CCNCC1Cc1ccccc1,train
CC(C)(C)C(=O)NCc1nc(CC(=O)Nc2ccccc2)no1,train
Cc1nc(C(=O)N2CCN(Cc3ccccn3)CC2)no1,train
CC(Sc1ncnc2ccccc12)C(=O)NCc1ccccc1,train
CCCc1cc(C(=O)NC2CCN(C(=O)OC)CC2)[nH]n1,train
CCOCC(=O)Nc1ccccc1C(=O)N(C)Cc1ccccc1,train
CCC(NC(=O)c1cccc(-n2cnnn2)c1)c1ccc(OC)cc1,train
CCN(CCO)C(=O)c1ccc(Cn2ccnc2)cc1,train
CCOc1cccc(NC(=O)CCC(=O)OC)c1,train
O=C(OCC=Cc1ccccc1)c1cnc2n(c1=O)CCS2,train
O=C(c1ccc2c(c1)OCCO2)C1CC1c1ccccc1,train
Cc1cnc(CN2CCc3ccc(S(N)(=O)=O)cc32)cn1,train
CC(=O)c1c[nH]c(C(=O)NCC2(c3ccc(F)cc3F)CC2)c1,train
Nc1nc2c(c(=O)[nH]1)CCN(C(=O)c1n[nH]c3ccccc13)C2,train
CCCNC(=O)CNC(=O)NCc1ccc(F)cc1C(F)(F)F,train
COc1ccc(-c2nnc(-c3n[nH]c4c3CCCC4)o2)cc1OC,train
CCCc1nnsc1C(=O)NCCCn1ccc2cccnc21,train
Cc1cc(C)c(NC(=O)c2cccc(N(C)C)c2)c(C)c1,train
Cn1nc(C(C)(C)C)cc1NC(=O)CSc1ncc2ccccn12,train
COc1cc(OC)cc(C(=O)Nc2ccc3nc(C)oc3c2)c1,train
CCc1c(C)nc(SCC(=O)Nc2c(C)cc(C)cc2C)[nH]c1=O,train
Cn1ccnc1C(=O)c1ccc2c(c1)OCCCO2,train
CCC1C=CCN1C(=O)Nc1ccc(CCC(=O)NC2CC2)cc1,train
CC(C(=O)N1CCc2cccc(F)c21)n1nnc(-c2ccccc2)n1,train
CN(Cc1ccccn1)C(=O)NC1CCc2cc(F)ccc21,train
Cc1cc(C)n(-c2ccc(CNc3cccc(C)c3C(N)=O)cc2)n1,train
COc1ccc(C(=O)Cn2cnc3sccc3c2=O)cc1F,train
CCc1cc2c(=O)[nH]c(Cc3cnoc3)nc2s1,train
O=C(Nc1ccc2c3c(cccc13)CC2)C1(O)CCCC1,train
Cc1oc2nc[nH]c(=O)c2c1C(=O)NCCc1cccnc1,train
CC(=O)Nc1cc(C(=O)Nc2cccnc2)ccc1Cl,train
Cc1cn2nc(N(C)CC(O)c3ccc(F)cc3)sc2n1,train
CC(C)c1ccc(NC(=O)Cn2nccc2-c2ccncc2)cc1,train
Nc1cc(F)cc2c(=O)cc(C(=O)N3CCCCCC3)oc12,train
Cc1ccccc1-c1nnn(CC(=O)NCC2CC2)n1,train
CC(CC#N)NC(=O)Nc1ccc(S(N)(=O)=O)cc1,train
CNC(=O)c1ccc(NC(=O)C(C)NC(=O)c2ccco2)cc1,train
CC(NC(=O)C1CC(=O)N(c2ccccc2F)C1)C(=O)N1CCCC1,train
Cc1ccc(C(C)NC(=O)Cn2cccn2)cc1C,train
CCC1(C(=O)Nc2ccc(C)c(S(C)(=O)=O)c2)CCCC1,train
CCOc1ccc(NC(=O)CCn2ccccc2=O)cc1F,train
CCc1c(N)cc(C(=O)c2cccc(N)c2)cc1Cl,train
CCC(C)NC(=O)c1ccc(CNC(=O)c2ccc(C)o2)cc1,train
Cn1cc(C2CC2C(=O)N2CCCC2CCc2ccccc2)cn1,train
COC(=O)c1sccc1NC(=O)CSc1ccccn1,train
Cn1c(SCC(=O)c2ccc(Cl)c(Cl)c2)n[nH]c1=O,train
COCCn1ccc2c(C(=O)Nc3n[nH]c4ccccc34)cccc21,train
Cc1n[nH]c(C)c1NC(=O)CN1CCOC(CNc2cccnn2)C1,train
COc1ccccc1NC(=O)CC1Oc2ccc(C)cc2NC1=O,train
CC(C)CCNS(=O)(=O)c1ccc(F)c(S(C)(=O)=O)c1,train
O=S(=O)(c1ccccc1)N1CCn2c(-c3ccccc3)cnc2C1,train
COC(=O)N1CCc2nn(Cc3cc(C)no3)c(=O)cc2C1,train
O=C(NCCCOCC(F)(F)F)c1cc2c(s1)CCCC2,train
Cc1cnn(CC2CCCN2C(=O)Cc2cccc3cccnc23)c1,train
CC(NC(=O)N1CCN(C)CC1c1ccccc1)c1ccncc1,train
COc1cccc(C(N)=O)c1OCc1nc2ccccc2s1,train
CC(C)c1ccc(SCC2(CO)COC2)cc1,train
COc1ccc(NC(=O)CSc2nncs2)cc1Cl,train
CCCn1cc(C(=O)Nc2cc(C)nn2-c2ccccc2F)cn1,train
CCN(CC)C(=O)c1ccccc1NCc1c(C)noc1C,train
COC(=O)c1cc(-c2ccc(F)cc2)nc2c1c(C1CC1)nn2C,train
CC(OC(=O)c1cccnc1)C(=O)Nc1ccccc1-c1ccccc1,train
Cc1noc(C)c1C(=O)Nc1nc(Sc2ccccc2)ns1,train
CC1COCC(C)N1C(=O)c1[nH]c2ccccc2c1Br,train
CCOC(=O)Nc1cccc(C(=O)NC2CCC(C)CC2)c1,train
CC(=O)NCc1ccc(-c2csc(NC(C)=O)n2)o1,train
CCOc1ccccc1NC(=O)c1cc2c(C)nn(C)c2s1,train
Cc1ccc(S(=O)(=O)NC(=O)N2CC(C)OC(C)C2)cc1,train
COCC1(C(=O)N(C)Cc2cnc(-c3ccccc3)s2)CCC1,train
CC(C)N(CCO)C(=O)Nc1cccn(CC(F)(F)F)c1=O,train
CCOc1ccc(NC(=O)c2ccc(N)cc2)cc1OCC,train
COC(=O)CC1(CNC(=O)NC(C)(C)C)CCCCC1,train
O=C(c1ccc2c(c1)CCC2)N(Cc1ccco1)CC1CCCO1,train
Cc1nc(SCC(=O)NC2(C#N)CCCCC2)n(CC(C)C)c1C,train
Cc1ccccc1-n1cc(C(=O)NC(C)c2ccncc2)cn1,train
CC(NS(=O)(=O)c1cccc(Br)c1)c1ccncc1,train
Cc1cc(C)n2cc(Cn3nnc4ccccc43)nc2c1,train
O=C(Nc1cc(F)ccc1F)c1cnn(-c2ccc(F)cc2)n1,train
CCN1C(=O)C(Cc2cccc(C)c2)Oc2ccc(O)cc21,train
Cc1ccc2c(c1C)C(c1cc[nH]c(=O)c1)NCC2,train
O=C(CCCn1cccc1)Nc1cc(Cl)ccc1O,train
Cc1cc(C(=O)Nc2sc3c(c2C#N)CCC3)on1,train
Cc1nnc(SCC(=O)Nc2ccccc2C(F)(F)F)o1,train
CCN(CC)C(=O)CCCNC(=O)N1CCCC(NC(C)=O)C1,train
CC(CC(N)=O)C(=O)Nc1ccc(C(F)(F)F)cc1,train
COc1ccc(C(=O)CSc2nncn2C)cc1F,train
CC(C)c1cc(C2CCCN2C(=O)c2ccccc2F)no1,train
Cc1nnc(NC2CC2)c2c1nnn2Cc1ccccc1Cl,train
CC(C)c1csc(NC(=O)C2CCCCN2S(C)(=O)=O)n1,train
C=CCSc1ccccc1NC(=O)CSc1nncs1,train
Cc1ccc(-n2nc3c(SCC(N)=O)nnc(C)c3c2C)cc1,train
COC(=O)C1CCN(C(=O)C2CCCOC2)c2ccccc21,train
Cn1c(CCNC(=O)Nc2cccc(F)c2)nc2c(F)cccc21,train
CCOC(=O)c1c(C)nc2nc(C)ccc2c1NCCO,train
COc1ccc(OC)c(S(=O)(=O)N(CC2CCOC2)C2CC2)c1,train
Cc1cc(C(=O)N(C)Cc2ccc3c(c2)OCO3)nn1C,train
CCC(C(N)=O)N1CCN(C(C)C(=O)N2CCCC2)CC1,train
O=C(Nc1cc(Cl)ccc1O)c1ccc(-n2ccnn2)cc1,train
CCc1cccc(N2CC(C(=O)NCCNC(C)=O)CC2=O)c1,train
COc1ccc(S(=O)(=O)N2CCCC(CO)C2)cc1Cl,train
CCNC(=O)Nc1ccc2nc(S(=O)(=O)CC)sc2c1,train
CC(=O)c1cccc(NC(=O)COc2ccc(Cl)cc2C(N)=O)c1,train
CCN1CCN(C(=O)C(C)Sc2nnnn2C2CC2)CC1,train
Cc1ccc(S(=O)(=O)NC(=O)NC2CC2)cc1,train
COC(=O)c1sccc1NC(=O)c1cnn(-c2ccccc2)c1,train
COc1ccc(S(=O)(=O)Nc2cc(C)ccc2OC)cc1,train
CC(OC(=O)C(NC(=O)c1ccccc1Cl)C(C)C)C(N)=O,train
COc1ccc(C(=O)OCC(=O)c2cccs2)cc1N,train
CS(=O)(=O)NCc1ccc(F)cc1C(F)(F)F,train
CCN(C(=O)C(C#N)Cc1ccc(C#N)cc1)c1ccccc1,train
CC(NCc1cc(F)ccc1C(F)(F)F)C(=O)NC1CCCC1,train
CC(C)NC(=O)CCN1CCN(C(=O)c2ccco2)CC1,train
CN1C(=O)C(O)(C2OC(C)(C)CCC2=O)c2ccccc21,train
CCCC1CN(C(C)=O)CC1Nc1cncc(C(=O)N(C)C)n1,train
CC(C(=O)NC1CC1)N1CCN(C(=O)CCc2cccc(F)c2)CC1,train
Cc1noc(C(C)NC(=O)c2cccc(C(F)(F)F)c2)n1,train
Cn1c(SCC(=O)NC2CCCC2)nnc1-c1ccccn1,train
COC(=O)NCC(=O)Nc1ccccc1-n1ccnc1,train
COCCN(C)C(=O)NCCNC(=O)c1ccc(F)cc1,train
Cc1nn(C)c2ncc(NC(=O)NCCc3cccs3)cc12,train
CC(C)S(=O)(=O)N1CCN(CCNC(=O)c2cnccn2)CC1,train
O=C(NCCc1ccccc1)N1CCN(CC(O)C2CC2)CC1,train
CCc1nc(CCNc2nc3c(s2)c(C)nn3C)cs1,train
CNC(=O)c1cc(S(=O)(=O)Nc2ccccc2OC)c(C)s1,train
CCOc1ccc(F)c(C(=O)N(CC)CCc2nccs2)c1F,train
O=C(CSc1nnnn1C1CCCCC1)Nc1ccccc1F,train
CC(Oc1ccc(Cl)cc1)C(=O)N(C)CC(N)=O,train
Cc1cccc(C2(O)CCN(C(=O)c3ccccn3)CC2)c1C,train
O=C(NCCn1ccnc1-c1ncccn1)c1ccc(F)cc1F,train
O=c1cc(C2CCC2)ncn1Cc1csc(-c2cccs2)n1,train
NC(=O)CNC(=O)CSc1ccc(F)c(F)c1,train
O=C(NCCCC(=O)N1CCCC(O)C1)c1ccccc1,train
Cc1cccc(N2CC(NC(=O)CCc3scnc3C)CC2=O)c1,train
Cc1cccc(C2CC(=O)NC3=NC(N)=NC(=O)C32)c1,train
CC1CCCCC1N(C)C(=O)c1cnn2cccnc12,train
Cn1c(NCC2(c3ccccc3)CC2)c(C#N)c(=O)n(C)c1=O,train
CCn1cc(C(=O)NCCc2c[nH]c3ccc(F)cc23)c(C(C)C)n1,train
O=C1CCCN1CC1CCCN(c2cnccn2)C1,train
CC(NC(=O)c1cc(C2CC2)on1)c1nnc2n1CCCCC2,train
CCOc1ccc(NC(=O)c2cc3n(n2)CCCO3)cc1,train
CCC(OC)C(=O)NCC(=O)Nc1ccccc1Br,train
Cc1nnc(SC(C)C(=O)c2ccc(Cl)cc2)s1,train
Cc1nc(CC(=O)NCC(C)(C)c2ccncc2)cs1,train
COC(=O)C1CC(NS(=O)(=O)c2cccs2)CN1C(C)=O,train
CCOC(=O)COc1ccc2c(CC)cc(=O)oc2c1,train
COC(=O)N(C)c1ccc(NC(=O)N(C)Cc2ccccc2)cc1,train
CSc1cc(C(=O)Nc2cccc(C)n2)ccn1,train
C=CCN(Cc1ccccc1F)C(=O)c1cc(NC(C)=O)ccc1O,train
CN(CCC#N)S(=O)(=O)NC1CCc2c(Cl)cccc21,train
COCCNC(=O)CCC(O)c1ccc(F)cc1,train
CN(Cc1cccc(C#N)c1)Cc1cc(=O)oc2cc3c(cc12)CCC3,train
CC(=O)c1cc(-c2nc(C)nn2Cc2ccc(F)cc2)cs1,train
CCOc1ccc(NC(=O)Cn2ncc3ccccc3c2=O)cc1,train
O=C(CNC(=O)Cc1ccccc1)NCCN1CCOCC1,train
O=C(Cn1nnc2ccccc2c1=O)OCc1nc2ccccc2o1,train
NC(=O)c1csc(NC(=O)Cc2ccc(OC(F)(F)F)cc2)n1,train
CS(=O)c1ccc(CNc2ccc(Cn3cccn3)cc2)cc1,train
COC(=O)CN1CCN(C(C)C(=O)NCc2ccccc2F)CC1,train
Cc1cc(C)nc(SCC(=O)NC(C)(C)C)n1,train
COCC(NC(=O)c1ccc(Cn2nc(C)cc2C)cc1)C(N)=O,train
N#CCCn1c(-c2ccncc2)nc2ccc(F)cc21,train
Cc1cc(C)c(C(=O)NCCCc2nc(C)cs2)c(C)c1,train
CCc1onc(C)c1NC(=O)NCC1(C)COC1,train
CC(O)c1cc(Cl)ccc1OCC1CCCCO1,train
Cc1sc(NC(=O)COc2ccccc2C(C)C)c(C(N)=O)c1C,train
C=CCNC(=O)c1cc(-c2cc(OC)ccc2OC)on1,train
Cc1cc(C)nc(N2CCC(c3cnccn3)CC2)n1,train
CCS(=O)(=O)NCC(O)c1ccc2c(c1)CCC2,train
Cc1nc(C)c(CC(=O)NC(C)(C)CC(C)(C)C)c(=O)[nH]1,train
COc1ccc(OC)c(CSc2nc3ccsc3c(=O)n2C)c1,train
CCn1c2ccccc2n2c(-c3ccc(OC)c(N)c3)nnc12,train
CC(C)(C)NC(=O)COC(=O)c1ccc(F)c(Cl)c1,train
Cc1cccc(NCC(=O)NC(C)(C#N)C2CC2)c1C,train
CCn1cnnc1CNC(=O)NCCC(=O)N(C)C,train
C=CCn1nnnc1Sc1ccc2nnnn2n1,train
COc1coc(COC(=O)c2ccc(F)cc2)cc1=O,train
O=C1CC(c2ccco2)CC2=Nc3ccccc3N=CC12,train
CCC(C)NC(=O)c1ccc(-c2nn(C)c(=O)c3ccccc23)cc1,train
COC(=O)c1ccc(-c2ccc(OC)c(OC)c2)nc1C,train
Cc1ccccc1OC(C)C(=O)NCc1ccc(S(N)(=O)=O)cc1,train
CC(OC(=O)c1ccco1)C(=O)N(c1nccs1)C1CCCCC1,train
Cc1ccn2nc(C(=O)NCc3ccc4c(c3)OCO4)nc2n1,train
Cc1cccc(C)c1NC(=O)CS(=O)(=O)c1ccc(O)cc1,train
Cc1c(C(=O)N2CCCCC2CCO)oc2c1C(=O)CCC2,train
O=C(NCC1COc2ccccc2O1)c1cnn2cccnc12,train
N#Cc1ccccc1OCC(=O)Nc1sccc1C(N)=O,train
COc1ccc(SCC(=O)N2CCNCC2)c(C)c1,train
CCn1cc(S(=O)(=O)c2ccc(OC)cc2)c(=O)c2ccccc21,train
CC(C)NC(=O)Nc1nc2cc3c(cc2s1)OCCO3,train
COc1ccc(SCCC(=O)NC2CCCC2C)cc1OC,train
O=C(COc1ccccc1F)Nc1ccccc1O,train
Cn1c(=O)c(N)c(N)n(-c2ccc(Cl)cc2)c1=O,train
CC(C)(C)C(=O)NCc1cc(Cl)cc2c1OCOC2,train
